Map,frechet distance,hausdorff distance,symmetric difference,algorithm
NUTS_population_by_country_2021,1.03478,0.260419,0.742187,f4carto
NUTS_population_by_region_2020,1.09225,0.343246,0.648286,f4carto
algeria_population_by_wilaya_2022,0.825094,0.466575,0.922939,f4carto
australia_population_by_state_and_territory_2021,1.10689,0.283751,0.669941,f4carto
austria_population_by_state_2020,0.450027,0.249849,0.737205,f4carto
bahamas_population_by_district_2010,1.29067,0.517949,0.480585,f4carto
belgium_population_by_region_2022,0.324619,0.283501,0.580082,f4carto
brazil_population_by_state_2021,1.07699,0.352892,0.655186,f4carto
china_population_by_province_2020,1.15278,0.31073,0.654473,f4carto
concentric_circles,0.303058,0.194198,0.478178,f4carto
conterminous_usa_population_by_state_2020,0.530545,0.297222,0.580428,f4carto
croatia_covid_cases_by_county_2022,0.488166,0.28588,0.61982,f4carto
croatia_population_by_county_2021,0.390128,0.251521,0.570326,f4carto
csv_ne50_antimeridian_minus169_brewer_pop,1.25409,0.400311,0.632428,f4carto
csv_wo_antarctica_ne50_antimeridian_minus169_brewer_pop,1.28686,0.403776,0.623258,f4carto
egypt_population_by_governate_2017,1.24598,0.475372,0.872957,f4carto
england_population_by_region_2022,1.09532,0.319515,0.651709,f4carto
france_population_by_metropolitan_region_2008,0.36902,0.265627,0.488924,f4carto
germany_population_by_state_2011,0.305769,0.228149,0.504613,f4carto
indonesia_population_by_province_2024,0.676474,0.393259,0.847098,f4carto
japan_population_by_prefecture_2020,1.105,0.321357,0.634292,f4carto
malaysia_population_by_state_2020,0.497137,0.323411,0.614074,f4carto
metropolitan_france_population_by_departement_2022,0.467524,0.276904,0.567949,f4carto
russia_population_by_federal_subject_2010,1.21976,0.371376,0.60425,f4carto
simplified_belgium_population_by_region_2022,0.572354,0.278643,0.58779,f4carto
singapore_population_by_planning_area_2015,1.65616,0.369428,0.893482,f4carto
switzerland_gdp_in_billion_chf_by_canton_2019,0.747133,0.381392,0.818128,f4carto
switzerland_population_by_canton_2016,0.563425,0.342717,0.750791,f4carto
tunisia_population_by_governate_2014,0.485412,0.314075,0.631226,f4carto
usa_population_by_county_2021,1.25575,0.385988,0.592976,f4carto
usa_population_by_state_2020,1.06532,0.309613,0.690867,f4carto
vietnam_population_by_province_2019,1.01929,0.264671,0.710648,f4carto
world_population_by_country_2010,1.20708,0.384596,0.622137,f4carto
