shapeName,Target Area
Glarus,40147.000000
Luzern,403397.000000
Bern,1026513.000000
Aargau,663462.000000
Basel-Landschaft,285624.000000
Zug,123948.000000
Obwalden,37378.000000
Nidwalden,42556.000000
Grisons,197550.000000
Appenzell Ausserrhoden,54954.000000
Appenzell Innerrhoden,16003.000000
Valais/Wallis,339176.000000
Sankt Gallen,502552.000000
Ticino,354375.000000
Schwyz,155863.000000
Zurich,1487969.000000
Thurgau,270709.000000
Uri,36145.000000
Schaffhausen,80769.000000
Jura,73122.000000
Fribourg,311914.000000
Basel-City,193070.000000
Solothurn,269441.000000
Geneva,489524.000000
Neuchâtel,178567.000000
Vaud,784822.000000
