ISO_CODE,Target Area
AFG,38326027.000000
GBR,66951174.000000
ALB,2872130.000000
DZA,43090987.000000
USA,335388238.000000
ATG,92377.000000
ARG,44908441.000000
AND,77020.000000
AGO,32898997.000000
ARM,2812496.000000
NLD,17402277.000000
AUS,25544179.000000
AUT,8901106.000000
AZE,10273528.000000
BHS,493469.856649
BRB,280427.000000
BLR,9661044.000000
BEL,11541273.000000
BLZ,778292.241500
BTN,778292.241500
BOL,11862346.000000
BIH,3340974.000000
BWA,2523541.000000
NOR,5367955.000000
COL,50617028.000000
COM,798326.000000
BRA,212564935.000000
FRA,64457760.000000
COD,91331950.000000
COG,5635288.000000
NZL,5026496.000000
BRN,439893.000000
BGR,7020235.000000
BFA,21231893.000000
BDI,12053897.000000
CPV,579933.000000
KHM,16296280.000000
CMR,26137129.000000
CAN,37758232.000000
CRI,5105359.000000
CIV,26477574.000000
HRV,4114639.000000
CUB,11309236.000000
CAF,5272026.000000
TCD,16379185.000000
CHL,19206688.000000
CHN,1423998019.000000
CYP,1233778.000000
CZE,10537911.000000
DNK,5810778.000000
DJI,1082344.000000
DMA,71764.000000
DOM,10939347.000000
ECU,17487163.000000
EGY,106538719.000000
SLV,6280922.000000
GNQ,1578373.000000
ERI,3523653.000000
EST,1329086.000000
ETH,115638360.000000
FJI,918091.000000
FIN,5525215.000000
GAB,2267995.000000
GMB,2541049.000000
MAR,36488843.000000
MOZ,30720752.000000
NAM,2467077.000000
GEO,3769183.000000
DEU,83267655.000000
GHA,31849246.000000
GRC,10543346.000000
GRL,778292.241500
GRD,123159.000000
NRU,12216.000000
GTM,17231172.000000
NPL,28999227.000000
GIN,13041586.000000
GNB,1993303.000000
GUY,791842.000000
HTI,11234508.000000
JOR,10817077.000000
HND,10041790.000000
HUN,9770120.000000
ISL,778292.241500
IDN,270825848.000000
IRN,86990162.000000
IRQ,42042951.000000
IRL,4925074.000000
KAZ,18861057.000000
KEN,51460211.000000
KIR,125256.000000
PRK,25813233.000000
KOR,51858128.000000
XKX,1675138.000000
SRB,7384063.000000
SYC,105006.000000
SLE,8140209.000000
SGP,5893519.000000
ITA,59639898.000000
JAM,2814473.000000
JPN,125542770.000000
KGZ,6372330.000000
LAO,7265653.000000
LVA,1907244.000000
LBN,5694522.000000
LSO,2239604.000000
LBR,5034191.000000
LBY,6612028.000000
LIE,38629.000000
LTU,2835900.000000
LUX,626079.000000
MCO,37033.000000
MNG,3266463.000000
MNE,778292.241500
MKD,2114024.000000
MDG,27879131.000000
MWI,19120882.000000
MYS,33003638.000000
MDV,510890.000000
MLI,20886781.000000
MLT,509595.000000
MHL,44081.000000
MRT,4440933.000000
MUS,1296960.000000
MEX,125610461.000000
FSM,111589.000000
MDA,3095024.000000
NIC,6709705.000000
OMN,4589136.000000
PAK,225112860.000000
PLW,19083.205979
PAN,4265541.000000
PNG,9648818.000000
PRY,6573039.000000
PER,33090281.000000
PHL,111287623.000000
POL,38477966.000000
PRT,10298399.000000
ROU,19489730.000000
RUS,145761663.000000
RWA,12987331.000000
WSM,213059.000000
SMR,34192.000000
TON,104873.000000
TTO,283555.590707
TUN,12106251.000000
TKM,6204366.000000
STP,216222.000000
SAU,36229972.000000
SEN,16215467.000000
SVK,5457552.000000
SVN,2116252.000000
SLB,778292.241500
SOM,16272861.000000
ZAF,58466143.000000
SSD,10545441.000000
ESP,47329954.000000
LKA,21683162.000000
KNA,47681.000000
LCA,178922.000000
VCT,104712.000000
SDN,43828068.000000
SUR,778292.241500
SWZ,1174222.000000
SWE,10321414.000000
CHE,8606431.000000
SYR,20486043.000000
TWN,23800896.000000
TJK,9442817.000000
TZA,60771966.000000
THA,71389374.000000
TLS,1289754.000000
TGO,8342236.000000
TUV,10998.000000
UGA,43685863.000000
URY,3428271.000000
UZB,33243463.000000
VUT,589697.314423
VAT,5250.000000
VEN,28628832.000000
VNM,96203595.000000
ZMB,18654918.000000
ZWE,15505226.000000
YEM,31927129.000000
UKR,44090693.000000
BHR,1494033.000000
KWT,4468361.000000
QAT,2828630.000000
ARE,9247550.000000
TUR,83811681.000000
ISR,8685594.000000
BGD,166426993.000000
MMR,53227971.000000
IND,1389966387.000000
BEN,12466819.000000
NER,23881690.000000
NGA,205780595.000000
ESH,778292.241500
